epoch,accuracy,loss,val_accuracy,val_loss
0,0.34624963998794556,1.3362280130386353,0.42363113164901733,1.2883915901184082
1,0.6365900635719299,1.0062552690505981,0.6772334575653076,0.9139458537101746
2,0.7910323739051819,0.5874450206756592,0.7002881765365601,0.7709330320358276
3,0.8519235849380493,0.40570664405822754,0.6916426420211792,0.7648068070411682
4,0.8854137659072876,0.3207855820655823,0.6945244669914246,0.7905086874961853
5,0.9111541509628296,0.2581857442855835,0.680115282535553,0.8646887540817261
6,0.9291447401046753,0.2059263288974762,0.7118155360221863,0.8648195266723633
7,0.9424301385879517,0.17635208368301392,0.7146974205970764,0.8989555835723877
8,0.9529476761817932,0.15343649685382843,0.7002881765365601,0.9830714464187622
9,0.9615278244018555,0.12549126148223877,0.6945244669914246,1.0295215845108032
10,0.9662330746650696,0.1155659630894661,0.7002881765365601,1.088449478149414
11,0.9676169157028198,0.10552822053432465,0.6916426420211792,1.0781633853912354
12,0.9701079726219177,0.09700091928243637,0.6858789920806885,1.1392196416854858
13,0.9745364189147949,0.08656109869480133,0.6829971075057983,1.2240089178085327
14,0.9745364189147949,0.08076436072587967,0.6829971075057983,1.2486993074417114
15,0.975089967250824,0.07588318735361099,0.6772334575653076,1.2456958293914795
16,0.9759202599525452,0.07372470200061798,0.680115282535553,1.2806217670440674
17,0.975089967250824,0.07043655216693878,0.6714697480201721,1.315880537033081
18,0.977027416229248,0.06655879318714142,0.6887608170509338,1.3582305908203125
19,0.9767506122589111,0.06837451457977295,0.6628242135047913,1.4717538356781006
20,0.9784113168716431,0.059584442526102066,0.6829971075057983,1.4212664365768433
21,0.9778577089309692,0.06629309058189392,0.6858789920806885,1.3981918096542358
22,0.976473867893219,0.06133328378200531,0.7002881765365601,1.459046721458435
23,0.9784113168716431,0.054238490760326385,0.6974063515663147,1.4973595142364502
24,0.9781345129013062,0.05822949856519699,0.7060518860816956,1.4779711961746216
