epoch,accuracy,loss,val_accuracy,val_loss
0,0.3520619869232178,1.3411446809768677,0.4063400626182556,1.287122130393982
1,0.6202601790428162,1.0347179174423218,0.6426513195037842,0.9496219754219055
2,0.7893717288970947,0.6076973676681519,0.6945244669914246,0.8073700666427612
3,0.8469415903091431,0.42060530185699463,0.6887608170509338,0.821535587310791
4,0.8926100134849548,0.320273220539093,0.6772334575653076,0.8524251580238342
5,0.9094935059547424,0.26014846563339233,0.6772334575653076,0.9258782267570496
6,0.924993097782135,0.21527275443077087,0.6628242135047913,1.0042948722839355
7,0.9377248883247375,0.18524207174777985,0.6685879230499268,1.0631375312805176
8,0.9548851251602173,0.15338003635406494,0.6599423885345459,1.1390193700790405
9,0.9576529264450073,0.13536937534809113,0.6685879230499268,1.1570956707000732
10,0.9662330746650696,0.11978331953287125,0.6628242135047913,1.2268801927566528
11,0.9676169157028198,0.11345689743757248,0.6829971075057983,1.3204350471496582
12,0.9712150692939758,0.09528105705976486,0.6714697480201721,1.3009101152420044
13,0.9725989699363708,0.09312525391578674,0.6743515729904175,1.3344019651412964
14,0.9753667116165161,0.08314528316259384,0.6772334575653076,1.3822001218795776
15,0.974259614944458,0.08486355096101761,0.6685879230499268,1.4856277704238892
16,0.9725989699363708,0.0841432735323906,0.6743515729904175,1.4640767574310303
17,0.9761970639228821,0.07477901130914688,0.6772334575653076,1.5081684589385986
18,0.973706066608429,0.07467902451753616,0.6714697480201721,1.5113525390625
19,0.9800719618797302,0.0705343559384346,0.6685879230499268,1.5316553115844727
20,0.9786880612373352,0.06742003560066223,0.6628242135047913,1.5933220386505127
21,0.976473867893219,0.06825681030750275,0.6714697480201721,1.573875069618225
22,0.9800719618797302,0.06435545533895493,0.6685879230499268,1.6093714237213135
23,0.9789648652076721,0.060109175741672516,0.6628242135047913,1.7037428617477417
24,0.9800719618797302,0.06004147604107857,0.6743515729904175,1.645643949508667
